Wavelength (nm),Abs,Em
430,8.30E+00,
431,8.43E+00,
432,8.75E+00,
433,9.01E+00,
434,9.56E+00,
435,1.01E+01,
436,1.02E+01,
437,1.08E+01,
438,1.12E+01,
439,1.20E+01,
440,1.23E+01,
441,1.30E+01,
442,1.32E+01,
443,1.40E+01,
444,1.43E+01,
445,1.50E+01,
446,15.627,
447,16.5686,
448,17.0326,
449,18.0266,
450,18.7487,
451,19.7207,
452,20.7838,
453,21.9305,
454,23.1379,
455,24.2534,
456,25.4304,
457,26.8739,
458,28.218,
459,29.5924,
460,30.9669,
461,32.4089,
462,33.5108,
463,34.8085,
464,36.0622,
465,37.5354,
466,38.3168,
467,39.7748,
468,40.6784,
469,41.8554,
470,42.7447,
471,43.7387,
472,44.8701,
473,45.972,
474,46.8445,
475,47.9759,
476,49.2213,
477,50.5577,
478,52.0697,
479,53.839,
480,55.5475,
481,57.7869,
482,59.7468,
483,62.4881,
484,65.0016,
485,67.8872,3.78815
486,70.8176,3.92743
487,74.0753,4.32175
488,77.3254,5.19745
489,80.6134,6.33799
490,83.644,7.69795
491,87.1288,9.39158
492,89.8632,11.3153
493,92.5894,13.4141
494,95.0186,15.9199
495,97.0316,19.0153
496,98.4737,22.552
497,99.6894,26.3913
498,100,30.4321
499,99.8937,34.7937
500,98.8913,39.8668
501,97.305,45.068
502,94.8819,50.0903
503,92.2476,55.0875
504,88.6634,60.1466
505,84.8818,65.4695
506,80.4995,70.7358
507,75.853,75.3358
508,70.8632,79.7285
509,65.8293,83.7295
510,60.6809,87.4406
511,55.5779,90.9344
512,50.8159,93.5806
513,46.0319,95.8436
514,41.3618,97.5192
515,37.1398,98.9348
516,33.0316,99.7616
517,29.3191,100
518,25.7721,99.5764
519,22.5911,99.1003
520,19.6144,98.4013
521,17.1844,97.182
522,14.6557,95.3999
523,12.7725,93.5891
524,11.0184,91.5931
525,9.29463,89.2959
526,8.01054,86.9706
527,7.04615,84.4696
528,5.8547,82.0278
529,5.1857,79.4143
530,4.49468,76.797
531,3.85757,74.0827
532,3.18098,71.3354
533,2.86964,68.9286
534,2.35403,66.6009
535,2.05029,64.0978
536,1.70098,61.8333
537,1.44279,59.6108
538,1.10867,57.3749
539,1.07754,55.4372
540,0.864917,53.1756
541,0.782146,51.4854
542,0.652295,49.7223
543,0.735824,48.2746
544,0.432079,46.7495
545,0.409298,45.4872
546,0.197435,44.2036
547,0.31134,42.8422
548,0.318174,41.7063
549,0.554336,40.5601
550,0.455619,39.435
551,,38.5836
552,,37.4452
553,,36.4262
554,,35.4668
555,,34.5588
556,,33.8193
557,,32.821
558,,31.7862
559,,31.0641
560,,30.152
561,,29.339
562,,28.5611
563,,27.6214
564,,26.7477
565,,25.7453
566,,25.1094
567,,24.2464
568,,23.5031
569,,22.6925
570,,21.684
571,,20.8988
572,,20.1159
573,,19.4753
574,,18.6576
575,,18.0609
576,,17.3245
577,,16.7026
578,,15.988
579,,15.39
580,,14.9718
581,,14.4591
582,,13.8862
583,,13.407
584,,12.8741
585,,12.3457
586,,11.8878
587,,11.4055
588,,1.09E+01
589,,1.06E+01
590,,1.03E+01
591,,9.85E+00
592,,9.44E+00
593,,9.11E+00
594,,8.78E+00
595,,8.44E+00
596,,8.28E+00
597,,7.92E+00
598,,7.68E+00
599,,7.31E+00
600,,7.08E+00
601,,6.96E+00
602,,6.70E+00
603,,6.47E+00
604,,6.28E+00
605,,6.05E+00
606,,5.85E+00
607,,5.61E+00
608,,5.52E+00
609,,5.33E+00
610,,5.13E+00
611,,4.94E+00
612,,4.82E+00
613,,4.64E+00
614,,4.46E+00
615,,4.29E+00
616,,4.11E+00
617,,4.03E+00
618,,3.87E+00
619,,3.73E+00
620,,3.60E+00
621,,3.45E+00
622,,3.30E+00
623,,3.23E+00
624,,3.09E+00
625,,2.98E+00
626,,2.92E+00
627,,2.79E+00
628,,2.78E+00
629,,2.66E+00
630,,2.59E+00
631,,2.51495
632,,2.45782
633,,2.33505
634,,2.27701
635,,2.16664
636,,2.10246
637,,2.05711
638,,2.00652
639,,1.87234
640,,1.83897
641,,1.79951
642,,1.73071
643,,1.70361
644,,1.63032
645,,1.50339
646,,1.45973
647,,1.43707
648,,1.40819
649,,1.35233
650,,1.27637
