lambda,Abs_mTq2,Em_mTq2
330,0.052288,
331,0.052288,
332,0.052288,
333,0.050109,
334,0.050109,
335,0.050109,
336,0.050109,
337,0.052288,
338,0.050109,
339,0.04793,
340,0.04793,
341,0.050109,
342,0.04793,
343,0.050109,
344,0.04793,
345,0.04793,
346,0.052288,
347,0.050109,
348,0.052288,
349,0.052288,
350,0.054466,
351,0.056645,
352,0.054466,
353,0.054466,
354,0.056645,
355,0.058824,
356,0.058824,
357,0.063181,
358,0.063181,
359,0.063181,
360,0.063181,
361,0.065359,
362,0.067538,
363,0.069717,
364,0.071895,
365,0.074074,
366,0.076253,
367,0.08061,
368,0.082789,
369,0.087146,
370,0.091503,
371,0.098039,
372,0.1024,
373,0.10893,
374,0.11547,
375,0.11983,
376,0.12636,
377,0.1329,
378,0.14161,
379,0.14815,
380,0.15468,
381,0.1634,
382,0.17211,
383,0.18301,
384,0.1939,
385,0.20261,
386,0.21351,
387,0.22004,
388,0.23312,
389,0.24837,
390,0.25708,
391,0.26797,
392,0.28105,
393,0.29412,
394,0.30937,
395,0.32026,
396,0.33551,
397,0.35076,
398,0.36819,
399,0.38562,
400,0.40087,
401,0.4183,
402,0.43791,
403,0.45752,
404,0.47712,
405,0.49673,
406,0.51416,
407,0.53377,
408,0.5512,
409,0.56645,
410,0.58388,
411,0.60131,
412,0.61656,
413,0.63399,
414,0.64924,
415,0.66013,
416,0.67756,
417,0.69499,
418,0.7146,
419,0.7342,
420,0.75163,
421,0.7756,
422,0.79303,
423,0.81481,
424,0.83878,
425,0.86057,
426,0.88235,
427,0.90632,
428,0.92593,
429,0.94553,
430,0.96078,
431,0.97386,
432,0.98475,
433,0.99129,
434,0.99782,
435,1,
436,0.99346,
437,0.98911,
438,0.98257,
439,0.97168,
440,0.96296,0.0115
441,0.95207,0.012
442,0.94118,0.0133
443,0.93246,0.0149
444,0.92593,0.0164
445,0.91939,0.019
446,0.91503,0.0221
447,0.91503,0.0258
448,0.91503,0.0307
449,0.91721,0.0369
450,0.91939,0.0448
451,0.92375,0.0548
452,0.92593,0.068
453,0.9281,0.0835
454,0.93028,0.101
455,0.9281,0.125
456,0.92157,0.152
457,0.91285,0.186
458,0.8976,0.224
459,0.87582,0.267
460,0.84967,0.314
461,0.81264,0.37
462,0.77124,0.431
463,0.72549,0.496
464,0.6732,0.56
465,0.61656,0.629
466,0.55773,0.696
467,0.49891,0.76
468,0.44227,0.819
469,0.38562,0.869
470,0.33333,0.914
471,0.28322,0.95
472,0.23747,0.974
473,0.19826,0.993
474,0.1634,0.999
475,0.13508,1
476,0.11111,0.993
477,0.091503,0.977
478,0.074074,0.957
479,0.058824,0.938
480,0.045752,0.915
481,0.037037,0.889
482,0.030501,0.864
483,0.023965,0.841
484,0.019608,0.817
485,0.015251,0.796
486,0.013072,0.776
487,0.0087146,0.76
488,0.0065359,0.749
489,0.0065359,0.741
490,0.0065359,0.738
491,0.0043573,0.737
492,0.0021786,0.739
493,0,0.745
494,0.0021786,0.751
495,0,0.758
496,0.0021786,0.768
497,0,0.775
498,0,0.78
499,-0.0021786,0.787
500,-0.0021786,0.792
501,-0.0021786,0.792
502,-0.0021786,0.795
503,-0.0021786,0.792
504,-0.0021786,0.786
505,0,0.779
506,-0.0021786,0.769
507,-0.0021786,0.752
508,0,0.736
509,-0.0021786,0.72
510,-0.0021786,0.699
511,,0.68
512,,0.658
513,,0.637
514,,0.615
515,,0.594
516,,0.572
517,,0.553
518,,0.531
519,,0.511
520,,0.494
521,,0.476
522,,0.46
523,,0.443
524,,0.43
525,,0.417
526,,0.403
527,,0.391
528,,0.381
529,,0.371
530,,0.363
531,,0.354
532,,0.346
533,,0.338
534,,0.332
535,,0.326
536,,0.318
537,,0.313
538,,0.306
539,,0.299
540,,0.294
541,,0.288
542,,0.28
543,,0.273
544,,0.267
545,,0.26
546,,0.253
547,,0.246
548,,0.238
549,,0.23
550,,0.224
551,,0.216
552,,0.208
553,,0.201
554,,0.193
555,,0.187
556,,0.18
557,,0.173
558,,0.166
559,,0.159
560,,0.153
561,,0.147
562,,0.141
563,,0.135
564,,0.131
565,,0.125
566,,0.122
567,,0.117
568,,0.113
569,,0.11
570,,0.106
571,,0.103
572,,0.0993
573,,0.0967
574,,0.0934
575,,0.091
576,,0.0883
577,,0.0854
578,,0.0832
579,,0.0809
580,,0.0791
581,,0.0768
582,,0.0747
583,,0.0728
584,,0.0705
585,,0.0683
586,,0.0668
587,,0.0647
588,,0.0629
589,,0.0615
590,,0.0599
591,,0.0578
592,,0.0557
593,,0.0542
594,,0.0527
595,,0.0511
596,,0.0501
597,,0.048
598,,0.0464
599,,0.045
600,,0.0434
601,,0.0416
602,,0.0407
603,,0.0388
604,,0.0376
605,,0.0361
606,,0.0348
607,,0.0338
608,,0.0328
609,,0.0319
610,,0.0304
611,,0.0291
612,,0.0283
613,,0.0275
614,,0.0265
615,,0.0258
616,,0.0247
617,,0.0244
618,,0.0232
619,,0.0227
620,,0.0221
621,,0.0215
622,,0.0206
623,,0.0201
624,,0.0193
625,,0.019
626,,0.0184
627,,0.0182
628,,0.0178
629,,0.0171
630,,0.0165
631,,0.016
632,,0.0158
633,,0.0156
634,,0.0151
635,,0.0147
636,,0.0144
637,,0.014
638,,0.0139
639,,0.0134
640,,0.0133
641,,0.0131
642,,0.0126
643,,0.0124
644,,0.0122
645,,0.0121
646,,0.0121
647,,0.0116
648,,0.0115
649,,0.011
650,,0.0108
